"(17, 193)","[(137, 1), (20707, 1), (81968898621607, 1), (16020872865349477, 1)]"
"(18, 47)","[(3691, 1), (973459, 1), (3, 1)]"
"(18, 53)","[(3, 1), (19, 1), (388845829, 1)]"
"(18, 61)","[(51520147381, 1)]"
"(18, 67)","[(90458081407, 1)]"
"(18, 71)","[(3, 1), (19, 1), (73, 1), (109, 1), (282439, 1)]"
"(18, 73)","[(151333837273, 1)]"
"(18, 79)","[(19, 1), (12794050657, 1)]"
"(18, 89)","[(3, 1), (8718957649, 1), (19, 1)]"
"(18, 97)","[(19, 1), (43840583803, 1)]"
"(18, 101)","[(3, 1), (181, 1), (1954915507, 1)]"
"(18, 109)","[(19, 1), (73, 1), (6301, 1), (191899, 1)]"
"(18, 113)","[(109, 1), (3, 1), (523, 1), (12173653, 1)]"
"(18, 127)","[(4195870866307, 1)]"
"(18, 131)","[(1684636965397, 1), (3, 1)]"
"(18, 163)","[(18755365247263, 1)]"
"(18, 181)","[(61291, 1), (19, 1), (30194029, 1)]"
"(18, 197)","[(3, 1), (19483906887919, 1)]"
"(18, 199)","[(582247, 1), (379, 1), (281431, 1)]"
"(18, 257)","[(19, 1), (3457, 1), (3, 1), (1462259593, 1)]"
"(19, 5)","[(191, 1), (6271, 1), (3981071, 1)]"
"(19, 7)","[(419, 1), (4534166740403, 1)]"
"(19, 11)","[(6115909044841454629, 1)]"
"(19, 13)","[(12865927, 1), (9468940004449, 1)]"
"(19, 17)","[(229, 1), (1103, 1), (202607147, 1), (291973723, 1)]"
"(19, 23)","[(2129, 1), (63877469, 1), (24939218613613, 1)]"
"(19, 29)","[(1386659, 1), (157193380600163813309L, 1)]"
"(19, 31)","[(571, 1), (14251, 1), (88770666332610762169L, 1)]"
"(19, 37)","[(4413131, 1), (3933538789573170812717L, 1)]"
"(19, 41)","[(12541, 1), (87423871753, 1), (100200775387183, 1)]"
"(19, 43)","[(229, 1), (2699, 1), (4219, 1), (46399, 1), (2137444528747943, 1)]"
"(19, 61)","[(229, 1), (607127818287731321660577427051L, 1)]"
"(19, 67)","[(751410597400064602523400427092397L, 1)]"
"(19, 71)","[(1900857799450121, 1), (1121659287043817009, 1)]"
"(19, 73)","[(48527, 1), (67679, 1), (1069952429562890572890811L, 1)]"
"(19, 97)","[(21433, 1), (280314943, 1), (97199158345481611029493L, 1)]"
"(19, 109)","[(1787, 1), (2664128404134007786366568953129253L, 1)]"
"(19, 113)","[(4278041, 1), (377213803, 1), (1813514509, 1), (3111134955989, 1)]"
"(19, 127)","[(496833428679257, 1), (149861247689324730312041L, 1)]"
"(19, 181)","[(43713986862401934971169718340891095138399L, 1)]"
"(19, 191)","[(4740414766116926933918204081767L, 1), (19, 1), (1277351533, 1)]"
"(19, 229)","[(23599, 1), (19, 1), (111783032208388135214909117369L, 1), (54493, 1), (1103, 1)]"
"(20, 19)","[(16936647121, 1)]"
"(20, 23)","[(5, 1), (61, 1), (941, 1), (272341, 1)]"
"(20, 29)","[(1061, 1), (470925821, 1)]"
"(20, 31)","[(181, 1), (4707206941, 1)]"
"(20, 37)","[(5, 1), (61, 1), (11507920001, 1)]"
"(20, 41)","[(101, 1), (761, 1), (103826101, 1)]"
"(20, 43)","[(5, 1), (41, 1), (4481, 1), (12716981, 1)]"
"(20, 53)","[(204057488321, 1), (5, 1), (61, 1)]"
"(20, 59)","[(18083161, 1), (8117401, 1)]"
"(20, 61)","[(41, 1), (4674531865001, 1)]"
"(20, 67)","[(76244081, 1), (5, 1), (1064941, 1)]"
"(20, 71)","[(661, 1), (1301, 1), (16661, 1), (45061, 1)]"
"(20, 73)","[(5, 1), (2281, 1), (70697833061, 1)]"
"(20, 79)","[(1601, 1), (6207041, 1), (152641, 1)]"
"(20, 89)","[(61, 1), (16887227561, 1), (3821, 1)]"
"(20, 97)","[(5, 1), (1567320142178381, 1)]"
"(20, 101)","[(10827505640180401, 1)]"
"(20, 109)","[(19923949457937361, 1)]"
"(20, 113)","[(5, 1), (761, 1), (6986165608501, 1)]"
"(20, 127)","[(5, 1), (6121, 1), (2211110558021, 1)]"
"(20, 131)","[(27539381, 1), (41, 1), (76808101, 1)]"
"(20, 157)","[(5, 1), (2081, 1), (35476234417021, 1)]"
"(20, 163)","[(986718137929561, 1), (5, 1), (101, 1)]"
"(20, 181)","[(1151901497068423921, 1)]"
"(20, 193)","[(136231279721, 1), (5, 1), (2826181, 1)]"
"(20, 197)","[(41, 1), (5, 1), (11065339871837941, 1)]"
"(20, 199)","[(521, 1), (67181, 1), (70263447901, 1)]"
"(20, 241)","[(41, 1), (283121, 1), (34541821, 1), (101, 1), (281, 1)]"
"(21, 7)","[(11898664849, 1)]"
"(21, 11)","[(7, 1), (1723, 1), (8527, 1), (27763, 1)]"
"(21, 13)","[(43, 1), (337, 1), (547, 1), (2714377, 1)]"
"(21, 17)","[(43, 1), (13567, 1), (940143709, 1)]"
"(21, 19)","[(30640261, 1), (68443621, 1)]"
"(21, 23)","[(7, 1), (43, 1), (170689, 1), (408030421, 1)]"
"(21, 29)","[(6637, 1), (51473298317533, 1)]"
"(21, 31)","[(43, 1), (6301, 1), (2813432694367, 1)]"
"(21, 37)","[(7, 1), (25453, 1), (4497991, 1), (7992349, 1)]"
"(21, 41)","[(22013480670406449841L, 1)]"
"(21, 43)","[(211, 1), (84110461, 1), (2199253519, 1)]"
"(21, 53)","[(7, 1), (43, 1), (511509937, 1), (3130547197, 1)]"
"(21, 61)","[(127, 1), (20557846922649109543L, 1)]"
"(21, 67)","[(7, 1), (43, 1), (511067593, 1), (52399044853, 1)]"
"(21, 71)","[(9401987029, 1), (1720764515149, 1)]"
"(21, 73)","[(127, 1), (211, 1), (40226467, 1), (20954968231, 1)]"
"(21, 79)","[(7, 1), (757, 1), (28393, 1), (387782571085603, 1)]"
"(21, 89)","[(4327, 1), (6815459113, 1), (8281163311, 1)]"
"(21, 97)","[(11299, 1), (1462536223, 1), (41554125397, 1)]"
"(21, 101)","[(43, 1), (211, 1), (122965880031200661337L, 1)]"
"(21, 109)","[(7, 1), (43, 1), (421, 1), (977047, 1), (22508757442543, 1)]"
"(21, 113)","[(13567, 1), (316663040181701441887L, 1)]"
"(21, 127)","[(17466733243964153276644609L, 1)]"
"(21, 131)","[(3529, 1), (25033, 1), (15319459, 1), (18729225187, 1)]"
"(21, 151)","[(7, 1), (967, 1), (3739, 1), (687499, 1), (8022057219289, 1)]"
"(21, 157)","[(631, 1), (103657, 1), (3407162854458756247, 1)]"
"(21, 163)","[(7, 1), (463, 1), (32971, 1), (91771, 1), (35650214624809, 1)]"
"(21, 181)","[(43, 1), (967, 1), (661417, 1), (44706082900420453, 1)]"
"(21, 197)","[(43, 1), (38545594837, 1), (2050885470106159, 1)]"
"(21, 199)","[(14848851902767, 1), (258437903981503, 1)]"
"(21, 211)","[(1263945836947081, 1), (2861381167, 1), (2143, 1)]"
"(22, 11)","[(23, 1), (89, 1), (199, 1), (58367, 1)]"
"(22, 13)","[(128011456717, 1)]"
"(22, 17)","[(23, 1), (947, 1), (87415373, 1)]"
"(22, 19)","[(23, 1), (253239693257, 1)]"
"(22, 23)","[(39700406579747, 1)]"
"(22, 29)","[(5618383, 1), (72384467, 1)]"
"(22, 31)","[(757241, 1), (1048563011, 1)]"
"(22, 37)","[(98389112119, 1), (2069, 1), (23, 1)]"
"(22, 41)","[(2311, 1), (5669871130991, 1)]"
"(22, 43)","[(11, 1), (23, 1), (67, 1), (359063, 1), (3470039, 1)]"
"(22, 53)","[(1354343, 1), (82244999, 1), (67, 1), (23, 1)]"
"(22, 61)","[(23, 1), (331, 1), (2179, 1), (42308091563, 1)]"
"(22, 67)","[(23, 1), (78088320271718681, 1)]"
"(22, 71)","[(419, 1), (1398279582151, 1), (5479, 1)]"
"(22, 73)","[(89, 1), (47635391067166673, 1)]"
"(22, 79)","[(81973, 1), (727, 1), (6821422367, 1), (23, 1)]"
"(22, 89)","[(23, 1), (56086691, 1), (23903412677, 1)]"
"(22, 101)","[(463, 1), (146543, 1), (1612088465989, 1)]"
"(22, 109)","[(11, 1), (23, 1), (67, 1), (1359997, 1), (10175728663, 1)]"
"(22, 127)","[(20681, 1), (383791, 1), (136447203773, 1)]"
"(22, 131)","[(11, 1), (4643, 1), (3983453, 1), (7260378379, 1)]"
"(22, 181)","[(18834707, 1), (199, 1), (435364641559, 1), (23, 1)]"
"(22, 193)","[(71339271343004303365057L, 1)]"
"(22, 199)","[(617, 1), (3075364337, 1), (2220466733, 1), (23, 1)]"
"(22, 241)","[(11, 1), (23, 1), (26813117, 1), (97029608242601, 1)]"
"(23, 5)","[(8971, 1), (332207361361, 1)]"
"(23, 17)","[(47, 1), (26552618219228090162977481L, 1)]"
"(23, 19)","[(277, 1), (2347, 1), (16497763013, 1), (1335495402823, 1)]"
